Room,Date,Day,Start,Duration,Title,ID,Abstract,Description,Language,Speakers,File URL
Saal,2018-07-13,1,15:00,2:00,Ankommen,1,Einfach ankommen – Gepäck zwischenlagern – Hallo sagen!,Einfach ankommen – Gepäck zwischenlagern – Hallo sagen!,de,1:alle,
Saal,2018-07-13,1,17:00,1:00,Begrüßung und Kennenlernen,2,Wir sagen Hallo und erzählen was es Neues gibt! Anschließend MMSSS,Wir sagen Hallo und erzählen was es Neues gibt!,de,2:Maria|3:Daniel,
Casino,2018-07-13,1,18:00,0:45,Abendessen,3,Pizza in allen Varianten,Pizza in allen Varianten,de,4:Kulturerbe,
Saal,2018-07-13,1,18:45,1:30,Brainstorming,4,Was braucht die Welt noch und wie kommen wir dahin?,Was braucht die Welt noch und wie kommen wir dahin?,de,1:alle,
Bühne,2018-07-13,1,20:30,0:30,Ideenvorstellung,5,"Zeigt uns, was ihr erbrainstormt habt!","Zeigt uns, was ihr erbrainstormt habt!",de,5:Paula,
Saal,2018-07-13,1,21:00,0:15,Pause,6,Chillt ma.,Chillt ma.,de,1:alle,
Saal,2018-07-13,1,21:15,1:00,Hackerethik,7,Wem bringt Deine Software was und wer fällt durchs Raster?,Wem bringt Deine Software was und wer fällt durchs Raster?,de,6:iusann|7:rixxx,
GroßesStudio,2018-07-13,1,22:15,0:45,Freie Abendgestaltung,8,,,de,9:Wer noch wach ist,
Saal,2018-07-14,2,09:00,0:10,Guten Morgen!,9,,,de,2:Maria|3:Daniel,
Grüner Raum,2018-07-14,2,11:00,0:15,Design Thinking,10,,,de,8:ab,
Grüner Raum,2018-07-14,2,11:20,0:15,Barrierefreies Internet,11,Barrieren hacken - Barrierefreies Internet,,de,10:Leo,
Grüner Raum,2018-07-14,2,11:40,0:15,Github und Open Source,12,Nur auf Github ist noch nicht Open-Source,,de,11:Nicco,
Grüner Raum,2018-07-14,2,12:00,0:15,Hackspace für Frauensternchen,13,Die Heart of Code - ein Hackspace für Frauensternchen in Berlin.,,en,12:kr4k3,
Grüner Raum,2018-07-14,2,12:20,0:15,Roboter laufen lernen,14,"Über Stock und über Steine, aber brich dir nicht die Beine. Robotern laufen lernen.",,de,13:Matthias,
Grüner Raum,2018-07-14,2,12:40,0:15,Grenzen der Meinungsfreiheit,15,,,de,14:Christina,
Casino,2018-07-14,2,13:00,1:00,Mittagessen,16,Hanfburger mit Pommes,Hanfburger mit Pommes,de,99:Obi,
Grüner Raum,2018-07-14,2,14:00,0:15,Programmieren und Handarbeiten,17,Zwischen push und pull und knit und purl - Warum Programmieren und Handarbeiten dieselben Hirnareale kitzeln,,de,15:Daniela,
Grüner Raum,2018-07-14,2,14:20,0:15,Digitalisierung und Menschenrechte,18,Apps gegen Entführungen vs. Massenüberwachung - ist Digitalisierung gut oder schlecht für die Menschenrechte?,,de,16:Lena,
Grüner Raum,2018-07-14,2,14:40,0:15,Hacking unter Freunden,19,Jugend hackt: Mehr als Hacking unter Freunden,,de,17:Björn,
Grüner Raum,2018-07-14,2,15:00,0:15,Bitcoin und Blockchains,21,Bitcoin und andere Blockchains,,de,18:Dirk,
Grüner Raum,2018-07-14,2,15:20,0:15,Design Thinking,22,,,de,8:ab,
Grüner Raum,2018-07-14,2,16:00,0:15,password sniffing,23,100 ways to sniff a password,,de,19:starbug,
Grüner Raum,2018-07-14,2,16:20,0:15,Code for Germany,24,Jugend hackt - und dann? Mehr Open Data Dinge tun mit codefor.de,,de,20:k-nut,
Grüner Raum,2018-07-14,2,16:40,0:15,Coding Conventions,25,Coding Conventions,,de,21:Lukas,
Grüner Raum,2018-07-14,2,17:00,0:15,social engineering 101,26,angewandte Sozialwissenschaft - social engineering 101 für Jugendliche,,de,22:Happi Prikoma,
Grüner Raum,2018-07-14,2,17:20,0:15,.net und Open Source,27,.NET und Open Source – Ein kurzer Überblick,,de,23:Tristan,
Grüner Raum,2018-07-14,2,17:40,0:15,How to hack Netzpolitik,28,How to hack Netzpolitik,,de,24:David,
Casino,2018-07-14,2,18:00,1:00,Abendessen,29,Linsen und Spätzle,,de,99:obi,
Bühne,2018-07-14,2,19:00,4:00,Präsentationsübungen,30,Jede Gruppe hat 7 Minuten!,Jede Gruppe hat 7 Minuten!,de,3:Daniel|25:Helene|26:Nina,
Saal,2018-07-15,3,09:00,0:10,Guten Morgen!,31,Auf in den Endspurt ;),,de,2:Maria|27:Robert,
Vor dem Haus,2018-07-15,3,11:00,4:00,AB IN DIE VOLKSBÜHNE!,32,Pünktlich abbauen und los geht’s zur Abschlusspräsentation!,,de,1:alle,
